NaOH/ mM,formaldehyde/ mM,C4_-H_NaCa_2p,C5_Ca_2p_I1,C5_Ca_2p_I2,C2_Ca_I1,C2_Ca_I2,C6-H2O_Ca_2p_I1,C6-H2O_Ca_2p_I2,C6_Ca_I1,C6_Ca_I2,C6_Ca_I3,C6_Ca_I4,C6_Ca_I5,C6_Ca_I6,C7-O_Ca_2p_I1,C7-O_Ca_2p_I2,C7-O_Ca_2p_I3,C6+H2O_Ca_2p_I1,C6+H2O_Ca_2p_I2,C6+H2O_Ca_2p_I3,C6+H2O_Ca_2p_I4,C7_Ca_2p_I1,C7_Ca_2p_I2,C7_Ca_2p_I3,C7_+H2_Ca_2p_I1,C7_+H2_Ca_2p_I2,C7_+H2_Ca_2p_I3,C7_+H2_Ca_2p_I4,C7_+H2_Ca_2p_I5,C6+2H2O_Ca_2p_I1,C6+2H2O_Ca_2p_I2,C6+2H2O_Ca_2p_I3,C6+2H2O_Ca_2p_I4,C3_Ca_I1,C7+H2O_Ca_2p_I1,C7+H2O_Ca_2p_I2,C7+H2O_Ca_2p_I3,C7+H2O_Ca_2p_I4,C9-O2_Ca_2p_I1,C9-O2_Ca_2p_I2,C9-O2_Ca_2p_I3,C9-O2_Ca_2p_I4,C8_Ca_2p_I1,C8_Ca_2p_I2,C8_Ca_2p_I3,C8_Ca_2p_I4,C8_+H2_Ca_2p_I1,C8_+H2_Ca_2p_I2,C8_+H2_Ca_2p_I3,C7+2H2O_Ca_2p_I1,C7+2H2O_Ca_2p_I2,C7+2H2O_Ca_2p_I3,C9-O_Ca_2p_I1,C9-O_Ca_2p_I2,C9-O_Ca_2p_I3,C9-O_Ca_2p_I4,C8+H2O_Ca_2p_I1,C8+H2O_Ca_2p_I2,C8+H2O_Ca_2p_I3,C8+H2O_Ca_2p_I4,C9_Ca_2p_I1,C9_Ca_2p_I2,C9_Ca_2p_I3,C9_Ca_2p_I4,C4_Ca_I1,C4_Ca_I2,C9+H2O_Ca_2p_I1,C9+H2O_Ca_2p_I2,C9+H2O_Ca_2p_I3,C9+H2O_Ca_2p_I4,C10_Ca_2p_I1,C10_Ca_2p_I2,C10_Ca_2p_I3,C10_Ca_2p_I4,C5_Na_I1,C5_Na_I2,C10+H2O_Ca_2p_I1,C10+H2O_Ca_2p_I2,C10+H2O_Ca_2p_I3,C11_Ca_2p_I1,C11_Ca_2p_I2,C6-H2O_Na_I1,C6-H2O_Na_I2,C6-H2O_Na_I3,C6-H2O_Na_I4,C11+H2O_Ca_2p_I1,C11+H2O_Ca_2p_I2,C11+H2O_Ca_2p_I3,C7-O-H2O_Na_I1,C7-O-H2O_Na_I2,C7-O-H2O_Na_I3,C7-O-H2O_Na_I4,C7-O-H2O_Na_I5,C7-O-H2O_Na_I6,C12_Ca_2p_I1,C12_Ca_2p_I2,C12_Ca_2p_I3,C6_Na_I1,C6_Na_I2,C6_Na_I3,C6_Na_I4,C12+H2O_Ca_2p_I1,C12+H2O_Ca_2p_I2,C12+H2O_Ca_2p_I3,C7_Na_I1,C7_Na_I2,C7_Na_I3,label
27.2896,90.2669,0.000659125,0.001250274,0.000350016,0.000698483,0.000208972,0.005780377,0.000615987,0.050041536,0.01174491,0.001167005,0.000601057,0.001297036,0.000241095,0.012009103,0.003062287,0.000597235,0.005754703,0.004620601,0.001109004,0.000592041,0.019472499,0.008788801,0.000829528,0.001771523,0.002796794,0.001170062,0.000590846,0.000245797,0.000283324,0.00078673,0.00046426,0.000292641,0.000503404,0.002558558,0.005366497,0.000531515,0.000528661,0.000331716,0.000828092,0.00170595,0.000210993,0.000333006,0.007261803,0.0045548,0.00052748,0.000353132,0.001597669,0.00027296,0.000394375,0.001570017,0.000339296,0.000345723,0.001681103,0.005278157,0.000299312,0.000530553,0.003595221,0.003863618,0.000497074,0.002147044,0.012316861,0.062326158,0.010031257,0.000457859,0.000161925,0.000839414,0.013819641,0.000226626,0.000446191,0.005008894,0.02401407,0.000248458,0.000506384,0.000548881,0.003535232,0.004687585,0.006608354,0.000260855,0.007620171,0.000355135,0.000155283,0.000190103,0.000188661,0.000153891,0.000934618,0.002820405,0.000228462,0.000143034,0.000241311,0.000307059,0.000218681,0.000154662,0.000136824,0.001062835,0.005061982,0.000235119,0.001238799,0.007815431,0.012401674,0.004235467,0.000382166,0.001237259,0.000196887,0.001490224,0.00064544,0.000453583,0
30.6315,96.6331,0.000663636,0.001311243,0.0003574,0.000565005,0.000213555,0.005538595,0.00062405,0.045780848,0.012557835,0.001368266,0.000585188,0.001081088,0.000258318,0.011777646,0.003747402,0.000612426,0.005407003,0.005017068,0.00155505,0.000551969,0.016716718,0.010405773,0.000785671,0.001755524,0.002810408,0.001483933,0.000752404,0.00028171,0.000315375,0.000858265,0.000600119,0.000312528,0.000422726,0.002254187,0.005522722,0.000547225,0.000486691,0.000393432,0.000932393,0.001829527,0.000257538,0.000392221,0.007054113,0.005426059,0.000489428,0.000398499,0.001738569,0.000327774,0.000413591,0.001688514,0.000380707,0.000407162,0.001697589,0.005388283,0.000383869,0.000512978,0.003649717,0.004340499,0.00048762,0.001704961,0.008822031,0.050782098,0.00703746,0.000362081,0.000186693,0.000805761,0.012398892,0.000266957,0.000511931,0.005123704,0.020681583,0.000283216,0.00061661,0.000822841,0.005032638,0.004754786,0.005385089,0.000319881,0.007309014,0.000430129,0.000190521,0.00023064,0.000226332,0.000176945,0.001021047,0.002698849,0.000263298,0.00017425,0.000287627,0.000409476,0.000272705,0.000171842,0.000156662,0.001103601,0.004589491,0.000275519,0.001354404,0.008892646,0.015463254,0.005301507,0.000437327,0.001282448,0.000230678,0.001609499,0.000721874,0.000545613,1
21.8414,100.4384,0.00062114,0.00112579,0.000302017,0.00112121,0.000253726,0.005532461,0.000616504,0.050043999,0.010632233,0.001084846,0.000816439,0.001521009,0.000182822,0.015671738,0.003017475,0.000583691,0.005530428,0.003936574,0.000798429,0.000615116,0.02417949,0.006426831,0.000871761,0.002112509,0.003510762,0.00099689,0.000455419,0.000204273,0.000225585,0.000774583,0.000360979,0.000254339,0.000682308,0.002882941,0.00525062,0.000449787,0.000601121,0.000253546,0.000796854,0.001008085,0.000173091,0.000250984,0.008213283,0.002860602,0.000551055,0.000359279,0.001903753,0.000234689,0.000347609,0.001491913,0.000295887,0.000306742,0.002028421,0.005151009,0.000241303,0.00056776,0.003518272,0.002880866,0.000486058,0.003282758,0.020521905,0.072325993,0.015601684,0.000750666,0.000124025,0.000939693,0.014450184,0.000185109,0.000317415,0.00429058,0.025851253,0.000194756,0.000315557,0.000317462,0.001584617,0.004011116,0.007912694,0.000197425,0.007507506,0.000236769,0.000119998,0.00013689,0.000130175,0.000110637,0.000801848,0.002805988,0.000159639,0.000115036,0.000182175,0.000245816,0.000174305,0.000119404,0.000106591,0.000948768,0.004374759,0.000180869,0.001144665,0.006482979,0.008153841,0.002681882,0.000306831,0.001131775,0.000159876,0.001315475,0.000554472,0.000302673,0
12.6292,109.941,0.000624486,0.00112262,0.000336127,0.0030939,0.000674087,0.005523974,0.000747965,0.052684402,0.01214751,0.001458149,0.001331516,0.001393395,0.000118904,0.019589257,0.003527732,0.00030203,0.005611781,0.004317623,0.000853559,0.000508986,0.027417355,0.005579583,0.000691105,0.002299958,0.00344285,0.000916591,0.000378845,0.000136882,0.000185907,0.000479247,0.000250752,0.00016108,0.001538095,0.002982943,0.004004077,0.00027239,0.000520897,0.000178988,0.000636861,0.000316528,0.000111065,0.000186696,0.009214475,0.000842588,0.000494448,0.000384364,0.001584915,0.000141851,0.000241985,0.001004268,0.00019424,0.000224532,0.002092029,0.003368169,0.000153277,0.00057925,0.002590682,0.00141132,0.000371694,0.007550979,0.036703495,0.069205607,0.023238244,0.002251808,9.79e-05,0.000870228,0.011242595,0.000135565,0.000195562,0.003511101,0.022601935,0.000154184,0.000189473,0.000114826,0.000289938,0.00207174,0.007688666,0.000125461,0.006409799,0.000146749,9.51e-05,8.93e-05,8.56e-05,7.99e-05,0.000587856,0.002255329,0.000112886,7.69e-05,0.000101154,0.000135548,0.000114634,8.27e-05,8.14e-05,0.000846075,0.002424925,0.000116508,0.000979083,0.004657553,0.002999239,0.000740441,0.00022815,0.000867777,0.000106737,0.000738471,0.000339645,0.000162363,0
20.0,115.0,0.000619328,0.001145625,0.000309678,0.001413532,0.00028235,0.005710658,0.000640088,0.051154027,0.011204647,0.001111134,0.001069013,0.001687442,0.000164882,0.015113983,0.002666745,0.00052831,0.005644598,0.003928193,0.000736693,0.00064755,0.025499245,0.005748687,0.000930568,0.001985019,0.003138514,0.000771099,0.000370804,0.000183767,0.000221575,0.000739435,0.000312799,0.000237276,0.000812635,0.002962654,0.005137384,0.000439418,0.000611397,0.000221604,0.000667828,0.000624697,0.000143849,0.000237801,0.008683156,0.002011298,0.000576997,0.000366407,0.001733825,0.000194637,0.000345543,0.001364333,0.000276402,0.000279113,0.002081482,0.004429523,0.000216534,0.000607775,0.00358203,0.002272092,0.000474585,0.004870431,0.029162213,0.080224296,0.017171929,0.000974891,0.000110173,0.001064555,0.014248168,0.000166619,0.00028415,0.004635443,0.027376721,0.00018764,0.000281304,0.000306313,0.001310884,0.003669422,0.00812674,0.000166996,0.007934835,0.000217449,0.000103137,0.000129999,0.000118647,9.86e-05,0.000829323,0.002746894,0.000153286,0.000105391,0.000155432,0.000200941,0.000161259,0.000108205,9.24e-05,0.001013775,0.004099991,0.000158339,0.001273212,0.00627368,0.006797467,0.001986959,0.000296537,0.00110904,0.000139991,0.001196851,0.000523086,0.000261379,0
18.3765,124.454,0.000634407,0.001145009,0.000297094,0.001659724,0.00031225,0.005573804,0.000666969,0.050457859,0.011507704,0.001176925,0.001178484,0.001703483,0.000155457,0.015603317,0.002653155,0.000484132,0.005747391,0.003885624,0.00070848,0.000623385,0.025981155,0.005442576,0.000972469,0.002042767,0.003218633,0.000724378,0.000348582,0.000164904,0.000206614,0.000713784,0.000283071,0.000216374,0.000873613,0.003010151,0.005032623,0.000412638,0.000594437,0.000205403,0.000672522,0.000485865,0.000140679,0.000226327,0.008955766,0.00157365,0.00056596,0.000382303,0.001709372,0.000195548,0.00033862,0.001280309,0.00026446,0.000287163,0.002266148,0.004274148,0.000203807,0.000668781,0.003450297,0.001870801,0.000450909,0.006001471,0.033797186,0.080987613,0.016226362,0.001144191,0.000106902,0.001150702,0.014196913,0.000159225,0.00025593,0.004767598,0.027501832,0.000185262,0.000261464,0.000281987,0.001070836,0.003586844,0.007908172,0.000159874,0.008321321,0.000201646,0.000106309,0.000117683,0.00010735,9.9e-05,0.000869108,0.002685918,0.000137684,9.85e-05,0.000138202,0.000181946,0.00014436,9.48e-05,8.03e-05,0.001078296,0.003643722,0.000147849,0.001430719,0.006111204,0.005612805,0.001446585,0.000310516,0.001088487,0.000130284,0.001111588,0.000493362,0.000225853,0
19.7815,143.1445,0.000600862,0.001144569,0.000290323,0.001406994,0.000256647,0.005514212,0.000621121,0.048680914,0.011285645,0.001093506,0.001098791,0.001757296,0.000166751,0.014929875,0.002551552,0.00055501,0.005719398,0.003723237,0.000700168,0.000651487,0.024459302,0.005462077,0.001055091,0.00204432,0.003177829,0.000680709,0.000329692,0.000182521,0.00021927,0.00077668,0.000273702,0.000235487,0.000740801,0.002941224,0.005076776,0.000476571,0.000569052,0.00023682,0.000709101,0.000598715,0.000153666,0.000264023,0.008518086,0.001864762,0.000556524,0.000413231,0.001753396,0.00019405,0.000367513,0.001276577,0.000281015,0.000319436,0.002275307,0.00463626,0.000214814,0.000713965,0.003752259,0.001953424,0.000454241,0.005477218,0.031291199,0.081015483,0.012546955,0.000902279,0.000114514,0.001280806,0.015140118,0.000170569,0.000278457,0.005389647,0.028288689,0.000189964,0.000284017,0.000452504,0.001628023,0.004294705,0.007256993,0.000175813,0.00893347,0.000233914,0.000101816,0.000140517,0.000121894,0.000106618,0.001002027,0.002749391,0.000148911,0.000109269,0.00015748,0.00021125,0.000169148,0.000105301,8.7e-05,0.001233518,0.00392123,0.000170296,0.001630013,0.006479168,0.006170018,0.001430774,0.000356578,0.001105254,0.000143198,0.00112741,0.000516034,0.000213832,0
10.0,150.0,0.000601742,0.001225952,0.000340515,0.003756087,0.00069277,0.005546557,0.000843776,0.051995463,0.014382189,0.001615945,0.001533965,0.001542155,0.000118643,0.018092643,0.003057116,0.000289956,0.006092924,0.004558166,0.000820961,0.0005469,0.025809126,0.00504289,0.00087609,0.002201951,0.002946344,0.000638319,0.000270533,0.000127895,0.000182078,0.000450877,0.000202395,0.000167214,0.001558444,0.002821609,0.003709199,0.0003196,0.000486274,0.000197543,0.000634606,0.000197445,0.000107353,0.000234893,0.008154815,0.00053776,0.000455998,0.000426262,0.001308191,0.000136538,0.000257682,0.000745038,0.00020096,0.000275306,0.002314256,0.002752148,0.000150505,0.000705541,0.002149891,0.000735841,0.000316772,0.010953783,0.049082826,0.075278311,0.014839561,0.002439376,9.19e-05,0.001109121,0.012688202,0.000135404,0.000177885,0.004587672,0.025347672,0.000152626,0.000179187,0.000158703,0.000307799,0.002698554,0.006617761,0.000125412,0.008402592,0.000145653,8.27e-05,9.6e-05,8.56e-05,7.16e-05,0.000881225,0.002123334,0.000108728,7.28e-05,9.94e-05,0.000120193,0.000111536,8.07e-05,8.22e-05,0.001232152,0.001841576,0.000106406,0.001344531,0.004284316,0.001643594,0.000261145,0.000307325,0.000791362,0.000103823,0.000512736,0.00022417,0.000104676,0
42.4355,144.6049,0.000558216,0.001218099,0.000482807,0.00040816,0.000259882,0.003553948,0.000658228,0.025453647,0.014085885,0.002202269,0.000565221,0.000682889,0.000347131,0.00887713,0.004967412,0.000648193,0.003795964,0.005678369,0.00331698,0.000467571,0.010186541,0.011703505,0.000584378,0.001632797,0.002719938,0.001423056,0.000695401,0.000340098,0.000418583,0.001210094,0.001037669,0.000391789,0.000359243,0.002142294,0.006380415,0.000570926,0.000423696,0.00054119,0.001077715,0.001461339,0.000354517,0.000501691,0.006810881,0.006362842,0.000422057,0.000563551,0.002018679,0.000358025,0.000607056,0.002166238,0.000366588,0.000520085,0.002226437,0.004728187,0.000481546,0.000780619,0.005162622,0.003943505,0.000433999,0.001656265,0.006521394,0.02592407,0.001315149,0.000307237,0.000261205,0.001185877,0.007000648,0.000382288,0.000520682,0.007692991,0.008723659,0.000425453,0.000579272,0.002713068,0.008274332,0.004630509,0.001500138,0.000433676,0.005544709,0.000499781,0.000251916,0.00046131,0.000324033,0.000256363,0.001453621,0.001547098,0.000349707,0.000268551,0.00052886,0.000695541,0.000431776,0.000258463,0.000218754,0.001675039,0.001578229,0.000397203,0.003619149,0.015675458,0.019768372,0.003404932,0.00071561,0.001190795,0.000313804,0.001818102,0.000994872,0.000621717,1
50.0,150.0,0.000550054,0.001102087,0.000631666,0.000405538,0.000359321,0.002180981,0.000686836,0.014709501,0.011300746,0.003010191,0.000687802,0.00057117,0.000391275,0.00716476,0.0054251,0.000599292,0.002520336,0.005310289,0.00442917,0.000478376,0.007267796,0.010723772,0.000551014,0.001874696,0.00320718,0.002022304,0.000877424,0.000420284,0.000475829,0.001449328,0.001344671,0.000432329,0.000408067,0.001905478,0.005869676,0.000575873,0.000464585,0.000667445,0.001298112,0.00132534,0.000459037,0.000559595,0.006121983,0.005995162,0.000496709,0.000708081,0.002452097,0.000417226,0.000663708,0.002211713,0.000450477,0.000625911,0.002551948,0.004607372,0.000523914,0.000840569,0.004932116,0.003668062,0.000468795,0.001479647,0.004736747,0.014606093,0.001001781,0.000343241,0.00034036,0.001154877,0.004711869,0.000446062,0.000529146,0.006340167,0.004793179,0.000520135,0.00053507,0.003956723,0.010339522,0.003475873,0.000870331,0.000480214,0.003751812,0.000500372,0.00029943,0.000661761,0.000489116,0.000319902,0.001289764,0.001086738,0.000429553,0.000314511,0.00062224,0.000822739,0.00062843,0.000326039,0.000308696,0.001452934,0.000847302,0.000481638,0.004880012,0.01859016,0.021685394,0.003401908,0.00075577,0.000998005,0.000405561,0.001945099,0.001222009,0.000738269,1
