Experiment_code,C=O/ M,O=CCO/ M,O=C(CO)CO/ M,O=C[C@H](O)CO/ M,OC[C@H](O)[C@H](O)CO/ M,OC[C@@H](O)[C@H](O)CO/ M,O=CC(O)(CO)CO/ M,O=C[C@H](O)[C@H](O)CO/ M,O=C(CO)[C@H](O)CO/ M,O=C[C@@H](O)[C@H](O)CO/ M,O=C(CO)C(O)(CO)CO/ M,O=C([C@H](O)CO)[C@H](O)CO/ M,O=C([C@@H](O)CO)[C@H](O)CO/ M,O=C[C@@](O)(CO)[C@H](O)CO/ M,O=C[C@](O)(CO)[C@H](O)CO/ M,O=C[C@H](O)C(O)(CO)CO/ M,O=C[C@@H](O)[C@H](O)[C@H](O)CO/ M,O=C[C@@H](O)[C@@H](O)[C@H](O)CO/ M,O=C[C@H](O)[C@H](O)[C@H](O)CO/ M,O=C(CO)[C@H](O)[C@H](O)CO/ M,O=C[C@H](O)[C@@H](O)[C@H](O)CO/ M,O=C(CO)[C@@H](O)[C@H](O)CO/ M,OC[C@H](O)C(O)[C@@H](O)CO/ M,OC[C@H](O)[C@H](O)[C@H](O)CO/ M,OC[C@H](O)[C@@H](O)[C@H](O)CO/ M,O=C(CO)[C@](O)(CO)[C@H](O)CO/ M,O=C(CO)[C@@](O)(CO)[C@H](O)CO/ M,O=C(CO)[C@H](O)C(O)(CO)CO/ M,O=C([C@@H](O)CO)[C@H](O)[C@H](O)CO/ M,O=C([C@@H](O)CO)[C@@H](O)[C@H](O)CO/ M,O=C([C@H](O)CO)C(O)(CO)CO/ M,O=C[C@@](O)(CO)[C@@H](O)[C@H](O)CO/ M,O=C[C@](O)(CO)[C@@H](O)[C@H](O)CO/ M,O=C[C@@](O)(CO)[C@H](O)[C@H](O)CO/ M,O=C[C@](O)(CO)[C@H](O)[C@H](O)CO/ M,O=C[C@H](O)[C@](O)(CO)[C@H](O)CO/ M,O=C[C@@](O)(CO)C(O)(CO)CO/ M,O=C[C@H](O)[C@H](O)[C@H](O)[C@H](O)CO/ M,O=C[C@@H](O)[C@H](O)[C@H](O)[C@H](O)CO/ M,O=C(CO)[C@@H](O)[C@H](O)[C@H](O)CO/ M,O=C[C@H](O)[C@@H](O)[C@@H](O)[C@H](O)CO/ M,O=C[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO/ M,O=C[C@H](O)[C@H](O)[C@@H](O)[C@H](O)CO/ M,O=C[C@@H](O)[C@H](O)[C@@H](O)[C@H](O)CO/ M,O=C[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)CO/ M,O=C(CO)[C@H](O)[C@H](O)[C@H](O)CO/ M,O=C(CO)[C@H](O)[C@@H](O)[C@H](O)CO/ M,O=C(CO)[C@@H](O)[C@@H](O)[C@H](O)CO/ M,O=C[C@@H](O)[C@@H](O)[C@@H](O)[C@H](O)CO/ M,OC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO/ M,O=CC(O)C(O)C(O)C(O)C(O)CO/ M,O=C[C@H](O)[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)CO/ M
FRN051A,0.018760681,0,0.009133064,0,0.001242619,0.000291751,0,0.000126776,0.000766085,9.12E-05,0,0,0,0.002314157,0,0,0.001772559,0,0,0,0,0,0,0,0,0.002384777,0,0,0,0,0.00014188,0.006855964,0.002817817,0,0,0,0.007257114,0,0,0.00127278,0,0,0,0,0,0.001770692,0,0,0,0,0,0.000309733
FRN051B,0.019567974,0,0.009024493,0,0.00122523,0.000368657,0,0.000136409,0.000771187,7.74E-05,0,0,0,0.002376022,0,0,0.001896049,1.71E-05,0,5.63E-06,0,0,0,0,0,0.000911585,0,0,0,0,0.000252887,0.008950634,0.003290445,0,0,0,0.006877358,0,0,0.000710397,0,0,0,0,0,0.002516828,0,0,0,0,6.20E-06,0.000457035
FRN055B,0.080752218,0,0.014531501,0,0.001621143,0,0.009896436,0,0,0,0,0,0,0.001952309,0,0,0.001885034,3.59E-05,0,2.33E-05,0,0,0,0,0,0.001163487,5.69E-05,0.000856839,0,0.003900356,0.003602926,0.000732711,0.002527968,0,0,0,0.006771685,0,0,9.45E-05,0,0,0,0,0,0.000343865,0,0,0,0,0,0.00071924
FRN059A,0.010712793,0,0.008318669,0,0.000988716,5.31E-05,0.0012901,0,0.003528495,0,0,0,0,0.001468413,0,0,0.001681043,0.000517023,0.000359576,0,0,0,0,0,0,0.001613035,0,0.000885517,0,0,0.000126451,0.003228874,0.000234695,0,0,0,0.004916545,0,0,0.001058713,0,0,0,0,0,0,0,0,0,0,0,0.000721478
FRN059B,0.011200929,0,0.008447148,0,0.000818152,1.29E-05,0.001433684,0,0.003739867,0,0,0,0,0.001549494,0,0,0.001886276,0.00049521,0.000350567,0,0,0,0,0,0,0.001493531,0,0,0,0,0.000356069,0.004702628,0.000239762,0,0,0,0.005418837,0,0,0.00098301,0,0,0,0,0,0.000549269,0,0,0,0,0,0.001023862
FRN060A,0.011607196,0,0.00835086,0,0.001260101,5.85E-05,0.001893249,3.22E-05,0.004034116,0,0,0,0,0.001759574,0,0,0.002132349,0.000458325,0.000241148,0,0,0,0,0,0,0.001767345,0,0,0,0.001893331,0.000285713,0.00183738,0.000247125,0,0,0,0.006226262,0,0,0.000932178,0,0,0,0,0,0,0,0,0,0,0,0.00077799
FRN060B,0.012022578,0,0.008344579,0,0,0,0,0.001667065,0,0,0,0,0,0,0,0,0.000332724,0,0,0.002068508,0.000264571,0,0,0,0,0,0,0.000552597,0,0,0,0.002660854,0,0,0,0,0.006223069,0,0,0.000868534,0,0,0,0,0,0.000165525,0,0,0,0,4.41E-06,4.49E-05
FRN061A,0.069033898,0,0.010724373,0,0.00309815,0.000271178,0.006463892,0,0,0,0.000384383,0,0,0.001927126,0,0,0.001268756,0.000167753,0,0,0,0,0,0,0,0.000876238,0,0.002224928,0,0.001267237,0.000717496,0.000831705,0.000644672,0,0,0,0.004796151,0,0,0.000436708,0,0,0,0,0,0,0,0,0,0,0,0.000423705
FRN061B,0,0,0,0,0.002811191,0.000128272,0.006955043,0,0,0,0.000323555,0,0,0.00228849,0,0,0.001721632,8.43E-05,0,0,0,0,0,6.83E-06,0,0.000773585,2.70E-05,0.0008888,0,0.002938844,0.0012373,0.000738586,0.00116519,0,0,0,0.006521186,0,0,0,0,0,0,0,0,0.00020249,0,0,0,0,0,0.000546805
FRN062A,0,0,0,0,0.002537366,0.000507463,0.005446805,0,0,0,0.000253203,0,0,0.001948089,0,0,0.001451896,0.000213531,1.61E-05,0,0,0,0,0,0,0.001084224,0,0.001576558,0,0.001849486,0.000609433,0.000833475,0.000874924,0,0,0,0.005457331,0,0,0.000380851,0,0,0,0,0,0,0,0,0,0,0,0.000524425
