Experiment_code,Modulated_component,temperature/ oC,residence_time/ s,[NaOH]/ M,A[NaOH]/ M,per[NaOH]/ s,ph[NaOH]/ rad,[CaCl2]/ M,A[CaCl2]/ M,per[CaCl2]/ s,ph[CaCl2]/ rad,[C=O]/ M,A[C=O]/ M,per[C=O]/ s,ph[C=O]/ rad,[O=C(CO)CO]/ M,A[O=C(CO)CO]/ M,per[O=C(CO)CO]/ s,ph[O=C(CO)CO]/ rad,[OC1COC(O)CO1]/ M,A[OC1COC(O)CO1]/ M,per[OC1COC(O)CO1]/ s,ph[OC1COC(O)CO1]/ rad,[O=C(CO)[C@H](O)CO]/ M,A[O=C(CO)[C@H](O)CO]/ M,per[O=C(CO)[C@H](O)CO]/ s,ph[O=C(CO)[C@H](O)CO]/ rad,[O=C[C@H](O)[C@H](O)[C@H](O)CO]/ M,A[O=C[C@H](O)[C@H](O)[C@H](O)CO]/ M,per[O=C[C@H](O)[C@H](O)[C@H](O)CO]/ s,ph[O=C[C@H](O)[C@H](O)[C@H](O)CO]/ rad
FRN051A,None,21,480,0.03,0,0,0,0.015,0,0,0,0.1,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FRN051B,O=C(CO)CO,21,480,0.03,0,0,0,0.015,0,0,0,0.1,0,0,0,0.05,0.025,960,0,0,0,0,0,0,0,0,0,0,0,0,0
FRN055B,O=C(CO)CO,21,120,0.03,0,0,0,0.015,0,0,0,0.1,0,0,0,0.05,0.025,120,0,0,0,0,0,0,0,0,0,0,0,0,0
FRN059A,None,21,240,0.03,0,0,0,0.015,0,0,0,0.1,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FRN059B,O=C(CO)CO,21,240,0.03,0,0,0,0.015,0,0,0,0.1,0,0,0,0.05,0.025,240,0,0,0,0,0,0,0,0,0,0,0,0,0
FRN060A,None,21,480,0.03,0,0,0,0.015,0,0,0,0.1,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FRN060B,O=C(CO)CO,21,480,0.03,0,0,0,0.015,0,0,0,0.1,0,0,0,0.05,0.025,480,0,0,0,0,0,0,0,0,0,0,0,0,0
FRN061A,None,21,240,0.03,0,0,0,0.015,0,0,0,0.166,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FRN061B,O=C(CO)CO,21,240,0.03,0,0,0,0.015,0,0,0,0.166,0,0,0,0.05,0.025,240,0,0,0,0,0,0,0,0,0,0,0,0,0
FRN062A,O=C(CO)CO,21,240,0.03,0,0,0,0.015,0,0,0,0.166,0,0,0,0.05,0.025,120,0,0,0,0,0,0,0,0,0,0,0,0,0
FRN062B,O=C(CO)CO,21,240,0.03,0,0,0,0.015,0,0,0,0.166,0,0,0,0.05,0.025,240,0,0,0,0,0,0,0,0,0,0,0,0,0
FRN062C,O=C(CO)CO,21,240,0.03,0,0,0,0.015,0,0,0,0.166,0,0,0,0.05,0.025,360,0,0,0,0,0,0,0,0,0,0,0,0,0
FRN062D,O=C(CO)CO,21,240,0.03,0,0,0,0.015,0,0,0,0.166,0,0,0,0.05,0.025,480,0,0,0,0,0,0,0,0,0,0,0,0,0
FRN063A,None,21,240,0.03,0,0,0,0.015,0,0,0,0.166,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FRN063B,None,21,240,0.03,0,0,0,0.015,0,0,0,0.166,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FRN063C,None,21,240,0.03,0,0,0,0.015,0,0,0,0.166,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FRN063D,None,21,240,0.03,0,0,0,0.015,0,0,0,0.166,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FRN063E,None,21,240,0.03,0,0,0,0.015,0,0,0,0.166,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FRN067A,None,21,120,0.03,0,0,0,0.0015,0,0,0,0.2,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FRN067B,None,21,120,0.03,0,0,0,0.003,0,0,0,0.2,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
