time/ s,O=C(CO)CO/ M,O=CC(O)(CO)CO/ M,O=C[C@H](O)[C@H](O)CO/ M,O=C[C@@H](O)[C@H](O)CO/ M,O=C(CO)[C@H](O)CO/ M,O=C(CO)C(O)(CO)CO/ M,O=C[C@H](O)C(O)(CO)CO/ M,O=C[C@@](O)(CO)[C@H](O)CO/ M,O=C[C@](O)(CO)[C@H](O)CO/ M,O=C[C@H](O)[C@@H](O)[C@H](O)CO/ M,O=C(CO)[C@@H](O)[C@H](O)CO/ M,O=C([C@H](O)CO)[C@H](O)CO/ M,O=C[C@H](O)[C@H](O)[C@H](O)CO/ M,O=C([C@@H](O)CO)[C@H](O)CO/ M,O=C([C@H](O)CO)C(O)(CO)CO/ M,O=C[C@@](O)(CO)C(O)(CO)CO/ M,O=C[C@H](O)[C@@](O)(CO)[C@H](O)CO/ M,O=C[C@](O)(CO)[C@@H](O)[C@H](O)CO/ M,O=C([C@@H](O)CO)[C@@H](O)[C@H](O)CO/ M,O=C[C@@](O)(CO)[C@H](O)[C@H](O)CO/ M,O=C(CO)[C@@](O)(CO)[C@H](O)CO/ M,O=C[C@H](O)[C@](O)(CO)[C@H](O)CO/ M,O=C(CO)[C@@H](O)[C@@H](O)[C@H](O)CO/ M,O=C(CO)[C@H](O)[C@@H](O)[C@H](O)CO/ M,O=C(CO)[C@@H](O)[C@H](O)[C@H](O)CO/ M
3093.12,0.004169791,0.0173331,9.12E-05,0.000121076,0.004568777,0.000180353,0.000121289,0.001879611,0.001941631,4.30E-05,0.003024885,0.003845334,8.17E-05,0.00316446,0,4.56E-05,0,0.001102947,0.001599338,0.000230695,0.000105913,0.000121432,0.000107751,0,0
3123.24,0.005437993,0.017966777,1.00E-04,0.000154399,0.005253368,0.0001806,7.11E-05,0.002063896,0.002175232,4.63E-05,0.003286318,0.004259091,8.13E-05,0.003528897,0,4.59E-05,0,0.001169213,0.001643461,0.00020303,0.000110242,0.00012547,8.56E-05,0,0
3153.36,0.016004973,0.014917965,0.000331625,0.000143613,0.00605798,0.000209063,8.05E-05,0.001963195,0.001145616,0.000105306,0.002438833,0.003259903,0.000132604,0.002438491,4.82E-05,0,0.000147469,0.000599005,0.000657548,0.000111439,2.85E-05,3.34E-05,3.95E-05,7.11E-06,0
3183.48,0.003939871,0.018092585,8.26E-05,0.000140013,0.004896323,0.000257624,5.74E-05,0.001964313,0.002252001,3.86E-05,0.003110265,0.004044181,7.69E-05,0.003564268,0,5.64E-05,0,0.001108534,0.001712085,0.000233758,0.000112344,0.000131406,0.00010946,0,0
3213.6,0.00303992,0.016940508,0.000165356,0.00011867,0.003357706,0.000387999,0.000106481,0.002048973,0.001824678,8.53E-05,0.002790113,0.00351415,0.000118198,0.002718523,0.000105102,0,7.34E-05,0.000669493,0.000973774,0.000154955,2.92E-05,4.20E-05,5.51E-05,1.19E-05,0
3243.72,0.004136745,0.016573611,0.000100538,0.000110845,0.005072461,0.000215627,6.67E-05,0.001713273,0.001968459,4.88E-05,0.002628368,0.00375798,7.41E-05,0.003230418,0,4.53E-05,3.08E-05,0.000922315,0.001251737,0.0002022,5.99E-05,0,7.62E-05,0,0
3273.84,0.005808293,0.016845722,0.000175631,0.000124349,0.005558038,0.000183029,9.54E-05,0.001828925,0.001752933,7.20E-05,0.002420492,0.003753931,9.46E-05,0.003308389,1.34E-05,0.000168311,0.000105845,0.000666393,0.000652585,8.40E-05,2.82E-05,2.84E-05,2.88E-05,3.44E-06,0
3303.96,0.004813901,0.016804862,8.69E-05,0.000132966,0.005555224,0.000236505,6.41E-05,0.001626964,0.001999142,3.70E-05,0.002660835,0.003595861,6.82E-05,0.003119142,0,4.38E-05,3.28E-05,0.000953417,0.00124102,0.000177016,6.00E-05,0,6.77E-05,0,0
3334.08,0.003318902,0.017892752,6.78E-05,8.62E-05,0.003221767,0.000290353,0.000109823,0.002162408,0.00225862,6.84E-05,0.003109722,0.004400385,9.57E-05,0.004158084,0,3.43E-05,0,0.001086074,0.001865516,0.0004467,0.000112757,0,0.000199923,0,0
3364.2,0.001972566,0.016123894,7.81E-05,0.000104674,0.001971481,0.000430438,0.000166356,0.002028792,0.001124605,4.80E-05,0.003215151,0.002205913,9.74E-05,0.001519673,0,0,0.000291473,0.001384592,0.000881275,0.000256793,7.18E-05,0,0.000113925,2.82E-05,3.33E-05
3424.44,0.002772776,0.017174733,8.83E-05,0.000134554,0.002938153,0.000679119,0.0001659,0.002209917,0.001822683,5.44E-05,0.002998328,0.002827579,0.000111588,0.002460534,0.000474177,0.000174195,0.000148738,0.001082082,0.001154375,0.000343711,5.62E-05,6.38E-05,0.000146796,1.76E-05,2.14E-05
3454.56,0.003407867,0.018080159,5.63E-05,0,0.003050824,0.000287096,8.73E-05,0.002133063,0.002436996,6.60E-05,0.002984706,0.004659918,9.25E-05,0.004552467,0,3.24E-05,0,0.001099713,0.001979663,0.000405523,9.52E-05,0,0.000275462,0,0
3484.68,0.003637454,0.016976328,0.000214157,0.000128501,0.003938844,0.000268293,0.000110763,0.002078615,0.001881466,9.78E-05,0.002892306,0.003812622,0.000121945,0.002919961,7.04E-05,0.000172889,7.04E-05,0.000883774,0.001021209,0.000164966,3.60E-05,3.22E-05,6.01E-05,1.16E-05,0
3514.8,0.003716681,0.016744232,0.000216084,0.000123103,0.003871072,0.000223031,0.000107609,0.002208272,0.001824303,0.00010772,0.002946021,0.003957048,0.000120175,0.00293037,9.24E-05,0.000156132,0.000121953,0.000935189,0.001064248,0.000172847,6.24E-05,7.57E-05,5.82E-05,8.74E-06,0
3544.92,0.017312192,0.014371837,0.000351113,0.000148309,0.006231711,9.13E-05,8.59E-05,0.001746371,0.000940624,0.00011124,0.002247667,0.002962002,0.000112417,0.002208867,8.76E-06,6.37E-05,4.02E-05,0.000587495,0.000486798,8.38E-05,2.04E-05,1.90E-05,2.81E-05,1.35E-06,0
3575.04,0.005654339,0.015568921,0.000126201,9.55E-05,0.002826231,0.000179074,8.42E-05,0.002928697,0.000587443,6.49E-05,0.003243084,0.002397565,0.000104427,0.001147986,3.17E-05,0,0.000225438,0.001272243,0.000870926,0.000173321,7.27E-05,0,5.92E-05,2.09E-05,2.03E-05
3605.16,0.002697522,0.01570504,0.000141446,9.52E-05,0.002471532,0.000399198,0.000119749,0.002266644,0.001364584,8.37E-05,0.00318994,0.002925628,0.000125433,0.002061241,0.000312997,0,0.00032905,0.001128656,0.001028353,0.000452151,6.67E-05,6.21E-05,0.000136773,2.40E-05,1.52E-05
3635.28,0.002621237,0.016795306,0.00017072,0.000123961,0.003288748,0.000331316,9.28E-05,0.002214108,0.001929044,8.85E-05,0.00316594,0.003734686,0.000118124,0.003060854,0.000105879,0.00011247,9.38E-05,0.000854575,0.001284166,0.00020697,5.50E-05,5.72E-05,0.000120522,1.24E-05,0
3665.4,0.004301758,0.016746019,0.000119552,0.000123957,0.004421842,0.00020709,0.000114002,0.001904571,0.001676389,6.23E-05,0.002745644,0.003515683,8.00E-05,0.003175784,4.21E-05,5.17E-05,7.22E-05,0.000836145,0.000986727,0.000141004,3.81E-05,4.65E-05,5.41E-05,0,0
3695.52,0.004647532,0.017080313,7.31E-05,0.000142267,0.005331464,0.000182085,0,0.00167849,0.002029063,3.50E-05,0.002816978,0.003865331,6.46E-05,0.003369252,0,5.77E-05,0,0.000994777,0.001300933,0.000157672,6.44E-05,7.88E-05,5.80E-05,0,0
3725.64,0.002439221,0.016007604,0.000156125,0.000120694,0.002686558,0.000277134,0.000126698,0.001967683,0.00144029,8.01E-05,0.003142661,0.002990457,0.000109414,0.002079857,6.77E-05,5.72E-05,4.36E-05,0.00084668,0.001085679,0.000185168,5.09E-05,5.44E-05,7.36E-05,1.29E-05,0
3755.76,0.005196246,0.016339616,0.000157739,0.000111483,0.004967579,0.000120725,7.12E-05,0.001875843,0.001453916,7.42E-05,0.002607604,0.003336499,7.97E-05,0.002791434,2.51E-05,6.13E-05,6.89E-05,0.000897612,0.000917951,0.000128374,4.28E-05,6.44E-05,4.26E-05,7.45E-06,0
3785.88,0.004603049,0.017650422,0.000106869,8.20E-05,0.004415765,0.000181349,7.59E-05,0.002087071,0.002366998,8.18E-05,0.002897504,0.004789542,8.90E-05,0.004392062,0,3.13E-05,0,0.001008391,0.001437471,0.000230924,7.76E-05,0,9.43E-05,0,0
3816,0.004776033,0.016569409,0.000174855,0.000117485,0.005018966,0.000119753,8.76E-05,0.001960949,0.001800871,9.34E-05,0.002696707,0.003959281,9.58E-05,0.003375646,1.93E-05,6.35E-05,6.74E-05,0.000841016,0.000923524,0.000180278,3.39E-05,3.83E-05,3.78E-05,0,0
3846.12,0.005204605,0.017256206,9.41E-05,0.000117515,0.005819698,0.0001679,0,0.001794202,0.00218792,4.30E-05,0.002785854,0.004266774,6.89E-05,0.003649032,0,4.40E-05,2.80E-05,0.001036158,0.001319535,0.000149899,6.33E-05,7.25E-05,5.57E-05,0,0
3876,0.006986153,0.015729745,0.000127858,9.54E-05,0.004310632,8.72E-05,0.000153439,0.002791767,0.001015465,9.35E-05,0.003240527,0.003743814,9.71E-05,0.001907276,2.95E-05,7.04E-05,8.05E-05,0.00143036,0.000929235,0.000210626,4.69E-05,4.95E-05,6.43E-05,1.03E-05,0
3906.12,0.005271737,0.021960067,0.00014262,0.000160428,0.005057096,0.000633806,0.000230913,0.004516968,0.004020517,0.000188371,0.005742831,0.007483452,0.000206904,0.006764049,0.000174409,0.000121745,0.000129114,0.001915323,0.003229759,0.000837693,0.000230545,0,0.000399465,0,0
3936.24,0.006785856,0.016162797,0.000186644,0.00010882,0.005586849,6.62E-05,6.94E-05,0.002025708,0.0016633,0.000102253,0.002623188,0.003921287,8.35E-05,0.003200431,7.95E-06,5.95E-05,3.92E-05,0.000838042,0.000868779,7.68E-05,2.97E-05,4.89E-05,2.71E-05,0,0
3966.36,0.006005715,0.016131668,0.00014362,0.00011601,0.005593643,0.000104893,5.27E-05,0.001751946,0.001707978,5.79E-05,0.002650035,0.003683331,6.96E-05,0.0029474,0,4.26E-05,0,0.000911998,0.001138661,0.000138563,5.98E-05,6.21E-05,4.52E-05,0,0
3996.48,0.006303948,0.01607221,0.000119878,9.26E-05,0.003410676,0.000138269,9.81E-05,0.002778663,0.00094033,7.14E-05,0.00331489,0.003180179,0.000108915,0.001645203,7.43E-05,8.88E-05,0.000105645,0.001117509,0.001501035,0.000271765,6.59E-05,6.66E-05,8.77E-05,1.16E-05,0
4026.6,0.005034399,0.016779485,0.000150733,0.00012522,0.005031402,0.000143348,0.000101297,0.00209918,0.001910341,8.42E-05,0.003028705,0.004089075,9.80E-05,0.003667956,1.89E-05,7.59E-05,7.29E-05,0.00091041,0.001144899,0.00014153,4.58E-05,3.20E-05,4.44E-05,0,0
