Inchi solute,smiles solute,logS_aq_avg,logS_aq_std,logS_aq_all_data,count,general data source,more specific data source
"InChI=1/2C10H18/c2*1-8(2)10-6-4-9(3)5-7-10/h2*4,8,10H,5-7H2,1-3H3",CC(C)C1CCC(=CC1)C.CC(C)C2CCC(=CC2)C,-5.5,0,[-5.5],1,aqsol,nan
"InChI=1/C14H21NOS/c1-3-10-15(11-4-2)14(16)17-12-13-8-6-5-7-9-13/h5-9H,3-4,10-12H2,1-2H3",CCCN(CCC)C(=O)SCC1=CC=CC=C1,-4.28,0,[-4.28],1,"Ochem, Ochem, Ochem, Ochem, aqsol","A5643, A108291, A111278, A112073, nan"
"InChI=1/C9H16ClN5/c1-4-11-8-12-7(10)13-9(14-8)15(5-2)6-3/h4-6H2,1-3H3,(H,11,12,13,14)/f/h11H",CCNc1nc(N(CC)CC)nc(Cl)n1,-4.06,0,[-4.06],1,"AlogS, Physprop, Ochem, Ochem, Ochem, Ochem, Ochem, Ochem, Ochem, Ochem, Ochem, Ochem, aqsol","nan, TOMLIN,C (1997), A111695, A64, A170, A171, A5370, A5643, A108291, A111541, A112076, A112523, nan"
InChI=1/C12H8Cl2/c13-11-8-4-7-10(12(11)14)9-5-2-1-3-6-9/h1-8H,Clc1cccc(-c2ccccc2)c1Cl,-5.35,0,[-5.35],1,"Physprop, Ochem, Ochem, Ochem, Ochem, aqsol","EPA, A5643, A108291, A111278, A112076, nan"
"InChI=1/C3H2ClF5O/c4-1(5)3(8,9)10-2(6)7/h1-2H",FC(F)OC(F)(F)C(F)Cl,-1.52,0,[-1.52],1,"Physprop, Ochem, Ochem, aqsol","YALKOWSKY,SH & DANNENFELSER,RM (1992), A5643, A2330, nan"
InChI=1/C4H6O3/c1-3(5)7-4(2)6/h1-2H3,CC(=O)OC(C)=O,0.07,0,[0.07],1,"Physprop, Ochem, Ochem, Ochem, Ochem, Ochem, aqsol","YALKOWSKY,SH & HE,Y (2003), A5643, A5643, A108291, A111278, A112073, nan"
InChI=1/C12H4Cl6/c13-7-1-5(2-8(14)11(7)17)6-3-9(15)12(18)10(16)4-6/h1-4H,Clc1cc(cc(Cl)c1Cl)-c1cc(Cl)c(Cl)c(Cl)c1,-8.85,0,[-8.85],1,"Physprop, Ochem, Ochem, Ochem, Ochem, Ochem, aqsol","PATIL,GS (1991), A111695, A5643, A108291, A111278, A112076, nan"
"InChI=1/C2H5BrO/c3-1-2-4/h4H,1-2H2",OCCBr,0.9,0,[0.9],1,"Physprop, Ochem, Ochem, Ochem, aqsol","MERCK INDEX (1996), A5643, A108291, A111278, nan"
"InChI=1/C18H26O/c1-11-9-19-10-13-7-15-16(8-14(11)13)18(5,6)12(2)17(15,3)4/h7-8,11-12H,9-10H2,1-6H3",CC1C(C)(C)C2=C(C=C3C(C)COCC3=C2)C1(C)C,-5.17,0,[-5.17],1,"Ochem, Ochem, Ochem, Ochem, Ochem, Ochem, aqsol","A5643, A108291, A111278, A2015, A2330, A3649, nan"
InChI=1/C12H5Cl5/c13-7-4-5-9(15)12(17)10(7)6-2-1-3-8(14)11(6)16/h1-5H,Clc1c(-c2cccc(Cl)c2Cl)c(Cl)ccc1Cl,-6.78,0,[-6.78],1,"Physprop, Ochem, Ochem, Ochem, Ochem, aqsol","EPA, A5643, A108291, A111278, A112076, nan"
InChI=1/C18H10N2O2S/c1-3-7-13-11(5-1)19-17(21-13)15-9-10-16(23-15)18-20-12-6-2-4-8-14(12)22-18/h1-10H,O1C2=CC=CC=C2N=C1C1=CC=C(S1)C1=NC2=CC=CC=C2O1,-7.52,0,[-7.52],1,"Ochem, Ochem","A111695, A108291"
"InChI=1/C13H16NO4PS/c1-3-15-19(20,16-4-2)18-13-10-12(17-14-13)11-8-6-5-7-9-11/h5-10H,3-4H2,1-2H3",CCOP(=S)(OCC)OC1=NOC(=C1)C1=CC=CC=C1,-5.22,0,[-5.22],1,"Ochem, Ochem, Ochem, aqsol","A5643, A108291, A112073, nan"
"InChI=1/C16H17F5N2O2S/c1-7(2)6-8-9(15(24)25-3)11(13(17)18)23-12(16(19,20)21)10(8)14-22-4-5-26-14/h7,13H,4-6H2,1-3H3",COC(=O)C1=C(CC(C)C)C(C2=NCCS2)=C(N=C1C(F)F)C(F)(F)F,-5.2,0,[-5.2],1,"Ochem, Ochem, Ochem, aqsol","A5643, A108291, A112076, nan"
"InChI=1/C12H11ClF3NO3/c13-9-3-1-8(2-4-9)11(12(14,15)16)17-20-7-10-18-5-6-19-10/h1-4,10H,5-7H2/b17-11+",FC(F)(F)C(=N\OCC1OCCO1)\C1=CC=C(Cl)C=C1,-4.01,0,[-4.01],1,"Ochem, aqsol","A108291, nan"
"InChI=1/C21H28N2S2/c1-5-6-14-24-20(23-19-8-7-13-22-15-19)25-16-17-9-11-18(12-10-17)21(2,3)4/h7-13,15H,5-6,14,16H2,1-4H3/b23-20-",CCCCS\C(SCC1=CC=C(C=C1)C(C)(C)C)=N\C1=CC=CN=C1,-5.57,0,[-5.57],1,"Ochem, Ochem","A5643, A108291"
"InChI=1/C14H18ClN2O3PS/c1-3-9-22-21(18,19-4-2)20-14-10-16-17(11-14)13-7-5-12(15)6-8-13/h5-8,10-11H,3-4,9H2,1-2H3",CCCSP(=O)(OCC)OC1=CN(N=C1)C1=CC=C(Cl)C=C1,-4.04,0,[-4.04],1,"Ochem, Ochem, Ochem, aqsol","A5643, A108291, A112073, nan"
"InChI=1/C18H16ClNO5/c1-3-22-17(21)11(2)23-13-5-7-14(8-6-13)24-18-20-15-9-4-12(19)10-16(15)25-18/h4-11H,3H2,1-2H3/t11-/m1/s1",CCOC(=O)[C@@H](C)OC1=CC=C(OC2=NC3=C(O2)C=C(Cl)C=C3)C=C1,-5.6,0,[-5.6],1,"Ochem, aqsol","A108291, nan"
"InChI=1/C14H8O6/c15-6-3-4-7(16)11-10(6)12(18)5-1-2-8(17)13(19)9(5)14(11)20/h1-4,15-17,19H",OC1=C(O)C2=C(C=C1)C(=O)C1=C(O)C=CC(O)=C1C2=O,-5.02,0,[-5.02],1,"Ochem, Ochem","A111695, A108291"
"InChI=1/C9H10N2O2S/c10-9(13)14-6-8(12)11-7-4-2-1-3-5-7/h1-5H,6H2,(H2,10,13)(H,11,12)/f/h11H,10H2",NC(=O)SCC(=O)NC1=CC=CC=C1,-1.32,0,[-1.32],1,"Ochem, Ochem, Ochem, Ochem, aqsol","A5370, A5643, A108291, A111278, nan"
"InChI=1/C12H11NO4/c14-10-6-9(8-4-2-1-3-5-8)7-11(15)12(10)13(16)17/h1-5,9,12H,6-7H2",[O-][N+](=O)C1C(=O)CC(CC1=O)C1=CC=CC=C1,-1.67,0,[-1.67],1,"Ochem, Ochem, Ochem, Ochem, aqsol","A5370, A5643, A108291, A111278, nan"
"InChI=1/C6H14O/c1-5-7-6(2,3)4/h5H2,1-4H3",CCOC(C)(C)C,-0.93,0,[-0.93],1,"Ochem, Ochem, Ochem, Ochem, aqsol","A5643, A108291, A111278, A112073, nan"
"InChI=1/C6H4ClNO3/c7-4-1-2-6(9)5(3-4)8(10)11/h1-3,9H",OC1=CC=C(Cl)C=C1[N+]([O-])=O,-3.09,0,[-3.09],1,"Ochem, Ochem, Ochem, Ochem, aqsol","A5643, A108291, A111278, A112076, nan"
"InChI=1/C10H6N2OS2/c1-5-2-3-6-7(4-5)12-9-8(11-6)14-10(13)15-9/h2-4H,1H3",CC1=CC2=NC3=C(SC(=O)S3)N=C2C=C1,-5.37,0,[-5.37],1,"Ochem, Ochem, aqsol","A5643, A108291, nan"
"InChI=1/C22H28O5/c1-7-8-9-10-15-14(3)18(12-17(15)23)27-21(25)19-16(22(19,4)5)11-13(2)20(24)26-6/h7-9,11,16,18-19H,1,10,12H2,2-6H3/b9-8+,13-11-",COC(=O)C(\C)=C/C1C(C(=O)OC2CC(=O)C(C\C=C\C=C)=C2C)C1(C)C,-4.62,0,[-4.62],1,"Ochem, Ochem, Ochem","A5643, A111278, A112073"
"InChI=1/C13H11NO3/c14-9-6-7-11(12(15)8-9)13(16)17-10-4-2-1-3-5-10/h1-8,15H,14H2",Nc1cc(O)c(cc1)C(=O)Oc1ccccc1,-4.52,0,[-4.52],1,"Physprop, Ochem, Ochem, Ochem, aqsol","MERCK INDEX (1989), A5643, A108291, A111278, nan"
"InChI=1/C8H19O3PS2/c1-4-10-12(9,11-5-2)14-8-7-13-6-3/h4-8H2,1-3H3",CCSCCSP(=O)(OCC)OCC,-2.11,0,[-2.11],1,"Physprop, Ochem, Ochem, Ochem, Ochem, aqsol","TOMLIN,C (2003), A5370, A5643, A111278, A112073, nan"
"InChI=1/C9H12N2O3/c1-2-5-14-9-4-3-7(11(12)13)6-8(9)10/h3-4,6H,2,5,10H2,1H3",CCCOc1ccc(cc1N)[N+]([O-])=O,-3.16,0,[-3.16],1,"Physprop, Ochem, Ochem, Ochem, Ochem, aqsol","MERCK INDEX (1996), A5370, A5643, A108291, A111278, nan"
"InChI=1/C8H11N/c1-7(9)8-5-3-2-4-6-8/h2-7H,9H2,1H3/t7-/m0/s1",C[C@H](N)C1=CC=CC=C1,-0.46,0,[-0.46],1,"Ochem, aqsol","A108291, nan"
"InChI=1/C19H14/c1-13-6-7-15-12-19-16(11-17(15)10-13)9-8-14-4-2-3-5-18(14)19/h2-12H,1H3",Cc1cc2cc3ccc4ccccc4c3cc2cc1,-6.82,0,[-6.82],1,"Physprop, Ochem, Ochem, Ochem, aqsol","YALKOWSKY,SH & HE,Y (2003), A5643, A108291, A111278, nan"
"InChI=1/C11H19NO3/c1-2-3-4-5-6-12-8-9(11(14)15)7-10(12)13/h9H,2-8H2,1H3,(H,14,15)/f/h14H",CCCCCCN1CC(CC1=O)C(O)=O,-1.46,0,[-1.46],1,"Physprop, Ochem, Ochem","SASAKI,H ET AL. (1988), A5643, A108291"
"InChI=1/C8H16O3/c1-5(2)6(9)8(3,4)7(10)11/h5-6,9H,1-4H3,(H,10,11)/f/h10H",CC(C)C(O)C(C)(C)C(O)=O,-0.9,0,[-0.9],1,"Ochem, Ochem","A5643, A108291"
"InChI=1/C20H27NO3/c1-6-16(21-24-7-2)20-17(22)10-15(11-18(20)23)19-13(4)8-12(3)9-14(19)5/h8-9,15,22H,6-7,10-11H2,1-5H3",Cc1cc(C)c(C2CC(O)=C(C(=O)C2)C(CC)=NOCC)c(C)c1,-4.82,0,[-4.82],1,"Physprop, Ochem","TOMLIN,C (1997); pH 5, A108291"
"InChI=1/C8H7IO3/c1-12-8(11)5-2-3-7(10)6(9)4-5/h2-4,10H,1H3",COC(=O)C1=CC(I)=C(O)C=C1,-3.31,0,[-3.31],1,"Ochem, Ochem, Ochem, Ochem, aqsol","A5370, A5643, A108291, A111278, nan"
"InChI=1/C9H13NO2/c1-4-12-9(11)8-6(2)5-7(3)10-8/h5,10H,4H2,1-3H3",CCOC(=O)C1=C(C)C=C(C)N1,-2.62,0,[-2.62],1,"Ochem, Ochem, Ochem, Ochem, aqsol","A5370, A5643, A108291, A111278, nan"
