FractionCSP3,NumHAcceptors,NumHDonors,NOCount,NHOHCount,NumAliphaticRings,NumAliphaticHeterocycles,NumAromaticHeterocycles,NumAromaticRings,NumRotatableBonds,TPSA,MolLogP,logS_aq_avg,SMILES
0.0,0.8,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,6.777600000000007,-5.5,CC(C)C1CCC(=CC1)C.CC(C)C2CCC(=CC2)C
20.310000000000002,0.5,0.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,6.0,4.161800000000003,-4.28,CCCN(CCC)C(=O)SCC1=CC=CC=C1
53.940000000000005,0.6666666666666666,1.0,5.0,0.0,0.0,1.0,1.0,5.0,1.0,5.0,1.803,-4.06,CCNc1nc(N(CC)CC)nc(Cl)n1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,4.660400000000003,-5.35,Clc1cccc(-c2ccccc2)c1Cl
9.23,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,2.3528000000000002,-1.52,FC(F)OC(F)(F)C(F)Cl
43.370000000000005,0.5,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.09600000000000009,0.07,CC(=O)OC(C)=O
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,7.274000000000001,-8.85,Clc1cc(cc(Cl)c1Cl)-c1cc(Cl)c(Cl)c(Cl)c1
20.23,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.3736,0.9,OCCBr
9.23,0.6666666666666666,0.0,1.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,4.525200000000004,-5.17,CC1C(C)(C)C2=C(C=C3C(C)COCC3=C2)C1(C)C
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,6.6206000000000005,-6.78,Clc1c(-c2cccc(Cl)c2Cl)c(Cl)ccc1Cl
52.06,0.0,0.0,4.0,0.0,0.0,3.0,5.0,5.0,0.0,2.0,5.364500000000003,-7.52,O1C2=CC=CC=C2N=C1C1=CC=C(S1)C1=NC2=CC=CC=C2O1
53.72,0.3076923076923077,0.0,5.0,0.0,0.0,1.0,2.0,6.0,0.0,7.0,4.017900000000003,-5.22,CCOP(=S)(OCC)OC1=NOC(=C1)C1=CC=CC=C1
51.55,0.5625,0.0,4.0,1.0,1.0,1.0,1.0,5.0,0.0,5.0,4.516500000000003,-5.2,COC(=O)C1=C(CC(C)C)C(C2=NCCS2)=C(N=C1C(F)F)C(F)(F)F
40.05,0.4166666666666667,0.0,4.0,1.0,1.0,0.0,1.0,4.0,0.0,4.0,2.9959000000000016,-4.01,FC(F)(F)C(=N\OCC1OCCO1)\C1=CC=C(Cl)C=C1
25.25,0.42857142857142855,0.0,2.0,0.0,0.0,1.0,2.0,4.0,0.0,6.0,6.833300000000007,-5.57,CCCCS\C(SCC1=CC=C(C=C1)C(C)(C)C)=N\C1=CC=CN=C1
53.35,0.35714285714285715,0.0,5.0,0.0,0.0,1.0,2.0,6.0,0.0,8.0,5.192300000000004,-4.04,CCCSP(=O)(OCC)OC1=CN(N=C1)C1=CC=C(Cl)C=C1
